iter	Passed	Remaining
516	605	565
517	606	564
518	607	563
519	608	561
520	609	560
521	610	559
522	611	558
523	613	557
524	614	556
525	615	555
526	617	553
527	618	552
528	619	551
529	620	550
530	621	549
531	623	548
532	624	546
533	625	545
534	626	544
535	627	542
536	628	542
537	629	540
538	631	539
539	632	538
540	633	537
541	634	536
542	635	534
543	636	533
544	637	532
545	638	531
546	639	530
547	641	528
548	642	527
549	643	526
550	644	525
551	645	524
552	647	523
553	648	521
554	649	520
555	650	519
556	651	518
557	652	516
558	653	515
559	654	514
560	656	513
561	657	512
562	658	511
563	659	509
564	661	508
565	662	507
566	663	506
567	664	505
568	665	504
569	666	502
570	667	501
571	668	500
572	670	499
573	671	498
574	672	497
575	674	496
576	676	495
577	677	494
578	679	493
579	680	492
580	681	491
581	682	490
582	683	488
583	684	487
584	685	486
585	687	485
586	688	484
587	689	483
588	690	481
589	691	480
590	693	479
591	694	478
592	695	477
593	696	476
594	697	474
595	698	473
596	699	472
597	700	471
598	702	470
599	703	468
600	704	467
601	705	466
602	706	465
603	707	464
604	709	462
605	710	461
606	711	460
607	712	459
608	713	458
609	714	456
610	715	455
611	716	454
612	717	453
613	719	452
614	720	450
615	721	449
616	722	448
617	724	447
618	725	446
619	726	445
620	727	443
621	728	442
622	729	441
623	730	440
624	731	439
625	733	437
626	734	436
627	735	435
628	736	434
629	737	432
630	738	431
631	739	430
632	740	429
633	741	428
634	742	426
635	743	425
636	744	424
637	745	423
638	746	421
639	748	420
640	749	419
641	750	418
642	751	417
643	752	415
644	753	414
645	754	413
646	755	412
647	757	411
648	758	409
649	759	408
650	760	407
651	761	406
652	763	405
653	764	404
654	765	403
655	766	401
656	767	400
657	768	399
658	769	398
659	770	396
660	771	395
661	772	394
662	773	393
663	774	392
664	776	390
665	777	389
666	778	388
667	779	387
668	780	386
669	781	385
670	782	383
671	783	382
672	784	381
673	786	380
674	787	379
675	788	378
676	789	376
677	791	375
678	792	374
679	793	373
680	794	372
681	795	370
682	796	369
683	797	368
684	799	367
685	800	366
686	801	365
687	803	364
688	804	363
689	806	362
690	807	360
691	808	359
692	809	358
693	810	357
694	811	356
695	812	355
696	814	353
697	815	352
698	816	351
699	817	350
700	819	349
701	820	348
702	821	347
703	822	345
704	824	344
705	825	343
706	826	342
707	827	341
708	829	340
709	830	339
710	831	338
711	833	337
712	834	336
713	836	335
714	837	333
715	838	332
716	840	331
717	841	330
718	842	329
719	843	328
720	844	326
721	845	325
722	846	324
723	847	323
724	849	322
725	850	321
726	851	319
727	853	318
728	854	317
729	855	316
730	855	314
731	856	313
732	857	312
733	858	311
734	859	310
735	860	308
736	861	307
737	862	306
738	864	305
739	866	304
740	867	303
741	868	301
742	869	300
743	870	299
744	871	298
745	872	297
746	874	296
747	875	294
748	876	293
749	877	292
750	878	291
751	880	290
752	881	289
753	882	287
754	883	286
755	884	285
756	885	284
757	886	283
758	887	281
759	888	280
760	889	279
761	890	278
762	891	276
763	892	275
764	893	274
765	894	273
766	896	272
767	897	271
768	898	270
769	900	268
770	901	267
771	902	266
772	903	265
773	905	264
774	906	263
775	907	261
776	908	260
777	909	259
778	910	258
779	911	257
780	912	255
781	913	254
782	914	253
783	915	252
784	916	251
785	917	249
786	918	248
787	919	247
788	920	246
789	921	245
790	922	243
791	923	242
792	924	241
793	925	240
794	926	239
795	928	237
796	929	236
797	930	235
798	931	234
799	932	233
800	933	231
801	934	230
802	935	229
803	936	228
804	937	227
805	938	225
806	939	224
807	940	223
808	941	222
809	942	221
810	943	219
811	944	218
812	945	217
813	946	216
814	947	215
815	948	213
816	949	212
817	950	211
818	951	210
819	952	209
820	953	207
821	954	206
822	955	205
823	956	204
824	957	203
825	958	201
826	959	200
827	961	199
828	961	198
829	962	197
830	963	196
831	964	194
832	965	193
833	966	192
834	967	191
835	968	190
836	969	188
837	971	187
838	972	186
839	973	185
840	974	184
841	975	183
842	976	181
843	977	180
844	978	179
845	979	178
846	980	177
847	981	175
848	982	174
849	983	173
850	984	172
851	985	171
852	986	170
853	987	168
854	988	167
855	989	166
856	990	165
857	991	164
858	992	162
859	993	161
860	994	160
861	995	159
862	996	158
863	997	157
864	998	155
865	999	154
866	1000	153
867	1001	152
868	1002	151
869	1003	150
870	1004	148
871	1005	147
872	1006	146
873	1008	145
874	1009	144
875	1010	142
876	1011	141
877	1012	140
878	1013	139
879	1015	138
880	1016	137
881	1017	136
882	1018	134
883	1031	135
884	1037	134
885	1065	137
886	1071	136
887	1072	135
888	1074	134
889	1075	132
890	1076	131
891	1077	130
892	1078	129
893	1079	127
894	1080	126
895	1081	125
896	1083	124
897	1084	123
898	1089	122
899	1091	121
900	1093	120
901	1095	118
902	1097	117
903	1098	116
904	1099	115
905	1100	114
906	1102	113
907	1103	111
908	1105	110
909	1106	109
910	1107	108
911	1108	106
912	1110	105
913	1111	104
914	1112	103
915	1114	102
916	1115	100
917	1116	99
918	1118	98
919	1119	97
920	1120	96
921	1121	94
922	1122	93
923	1123	92
924	1124	91
925	1125	89
926	1126	88
927	1127	87
928	1129	86
929	1130	85
930	1131	83
931	1132	82
932	1135	81
933	1136	80
934	1137	79
935	1138	77
936	1139	76
937	1140	75
938	1141	74
939	1142	72
940	1143	71
941	1144	70
942	1145	69
943	1146	68
944	1147	66
945	1150	65
946	1151	64
947	1152	63
948	1153	62
949	1154	60
950	1155	59
951	1156	58
952	1157	57
953	1159	55
954	1160	54
955	1161	53
956	1162	52
957	1163	51
958	1165	49
959	1166	48
960	1167	47
961	1169	46
962	1170	44
963	1171	43
964	1172	42
965	1172	41
966	1173	40
967	1174	38
968	1175	37
969	1176	36
970	1177	35
971	1179	33
972	1180	32
973	1181	31
974	1182	30
975	1183	29
976	1184	27
977	1185	26
978	1186	25
979	1187	24
980	1189	23
981	1190	21
982	1191	20
983	1192	19
984	1193	18
985	1194	16
986	1196	15
987	1197	14
988	1198	13
989	1199	12
990	1200	10
991	1201	9
992	1202	8
993	1203	7
994	1204	6
995	1204	4
996	1205	3
997	1206	2
998	1208	1
999	1210	0
